"#DemDebate" "#acasabotage" "#peteforpresident" "#DemocraticDebate" "#YangGang" "#PeteButtigieg" "#Harris" "#Warren" "#ReformFirst" "#American" "#POTUS46" "#POTUS" "#DemDebates" "#debate" "#DemocraticDebates" "#LarryDavid" "#climate" "#Bannon" "#Biden2020" "#KamalaHarris" "#Bernie2020" "#msnbc" "#VicePresidentBiden" "#JulianDebates" "#WeAreBetoThanThis" "#DemDebatePresident" "#MedicareForAll" "#yanggang" "#TeamPete" "#CoalMineSteyer" "#demdebate" "#TdoR" "#putin" "#YangBeatsTrump" "#BadAss" "#ClimateChange" "#2020Election" "#MSNBC" "#PeteForPresident" "#LetYangSpeak" "#publiclands" "#Nevada" "#LivingWage" "#AmericanFarming" "#WealthTax" "#BoliviaCoup" "#letyangspeak" "#YangMediaBlackout" "#MigrantJusticePlatform" "#Cato2020" "#CatoTrade" "#BidenBaby" "#Warren2020" "#DreamBigFightHard" "#PaidFamilyLeave" "#childcare" "#Rigged" "#BernieSanders" "#ManchurianCandidate" "#Kamala2020" "#kamala" "#Demdebate" "#Tulsi" "#AskAboutAbortion" "#Mexico" "#Receipts" "#1" "#TeamWarren" "#PeteForAmerica" "#wallshade" "#MeTooReproductive" "#Klobuchar2020" "#ElizabethWarren" "#DemDEbate" "#EndorseAndrewYang" "#BoycottMSNBC" "#courage" "#integrity" "#momsforyang" "#MApoli" "#Kamala" "#LatinaEqualPay" "#climatechange" "#MakeItStop" "#StatusQuo" "#NotMeUs" "#ByeTulsi" "#KDH" "#KAMALA2020" "#ParaLaGente" "#Democrats" "#JusticeIsOnTheBallot" "#KHive" "#TransDayofRememberance" "#talklocal" "#PoliticalRevolution" "#AFutureToBelieveIn" "#AllOfUsIf" "#Democraticdebate" "#CripTheVote"
"#TdoR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#putin" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#YangBeatsTrump" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#BadAss" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#ClimateChange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"#2020Election" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#MSNBC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"#PeteForPresident" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#LetYangSpeak" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#publiclands" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
